"mediauri","title"
"http://ada.cinepoetics.org/resource/media/16d7cd980a6b2a1dff413870c386ca722cee1fba439f0e39d883223f0e8e39ae","Tagesschau 2008-10-02"
"http://ada.cinepoetics.org/resource/media/b96c9ffe3232c59476221f0fcc1341d98a1043ebf7264d1940e7a96f6697feb1","Tagesschau 2008-10-03"
"http://ada.cinepoetics.org/resource/media/ffeec96b7497ee5c9100f3f0c0b2a9a0a72ea6d78b5a6e875b06f506eac1107c","Tagesschau 2008-10-04"
"http://ada.cinepoetics.org/resource/media/f7e2596f2bcbd8990676c952d399eeffa48085dc810aecfffe748930d808d105","Tagesschau 2008-10-05"
"http://ada.cinepoetics.org/resource/media/baca9b66914ebef20283bf19e41f302e9ef1dc5221cde23c1925f03ba7258883","Tagesschau 2008-10-06"
"http://ada.cinepoetics.org/resource/media/a7526f5351d89af6de368994a2d1b42742c18dd3c394c77483b0594c1fc83b68","Tagesschau 2008-10-07"
"http://ada.cinepoetics.org/resource/media/3234f5bca1c7bde06f5c6bcbe11059cda538c60fe0cb9afef65027dbebb8aabd","Tagesschau 2008-10-08"
"http://ada.cinepoetics.org/resource/media/3a7c12e3a5a185a9a109207e3fed8609208b3961e68e0560720799c39befb5bc","Tagesschau 2008-10-09"
"http://ada.cinepoetics.org/resource/media/6965f942bb03bef97762712e22136180669bc941756d9802a18a760e31979a9d","Tagesschau 2008-10-10"
"http://ada.cinepoetics.org/resource/media/e4bf2a7f231f7a1c31b5bfa065049ad2e783d763a36f684be8ed23f268f035e6","Tagesschau 2008-10-11"
"http://ada.cinepoetics.org/resource/media/207b577d5206f22512e088a3c33524fb250fe94c168d68ce49ddfe6de4de75f3","Tagesschau 2008-10-12"
"http://ada.cinepoetics.org/resource/media/10310d89b5a19e7bd87f8cbe05a31f6f654fb3f86eba5bb89160d1d7b7cea79a","Tagesschau 2008-10-14"
"http://ada.cinepoetics.org/resource/media/69e85734c0b00598441e875ffeb5b147df1e3741500ef4469a2aac67b8bf904a","Tagesschau 2008-10-15"
"http://ada.cinepoetics.org/resource/media/8ef2df53f706bc24772c26500a9de9a2e0e7bec9c15db5442e88a21ff43310ba","Tagesschau 2008-10-16"
"http://ada.cinepoetics.org/resource/media/393f55820294afeeea1e477ec4822293413390f2f6ff3fba80d9659c710b378c","Tagesschau 2008-10-17"
"http://ada.cinepoetics.org/resource/media/a5383bc648e3bef26f7977790be25ddb61ac2e06832768f03c3dd449ef615b44","Tagesschau 2008-10-18"
"http://ada.cinepoetics.org/resource/media/ad0de88429b769d43d4b804f00f35455e97ebd42894b22a743bb2611b1be6ead","Tagesschau 2008-10-19"
"http://ada.cinepoetics.org/resource/media/f562e8394d7d79c89842a6fffd3b8f843c51dc979467768f06237cba8d459039","Tagesschau 2008-10-20"
"http://ada.cinepoetics.org/resource/media/199002b27d9f4eed820788df76b0c380970f3b587991b6b0a593090e3d281deb","Tagesschau 2008-10-21"
"http://ada.cinepoetics.org/resource/media/3b6b3785b1c9ad635cbf5f7a6a940851794ec511204c3244ba5ccbc21199e590","Tagesschau 2008-10-22"
"http://ada.cinepoetics.org/resource/media/f89bb13263e6f9eac3f87e0ad20514f4087b6d55cf08fe4d56e29b9415103042","Tagesschau 2008-10-23"
"http://ada.cinepoetics.org/resource/media/ecb9014b34907887d3aaf4e9b5fd2e48b1168cd2f90777dce46abb217c13a8a3","Tagesschau 2008-10-24"
"http://ada.cinepoetics.org/resource/media/085fa4be01abdb45b027cdbcb2076112231f597369c528e3561551ab68bb62f0","Tagesschau 2008-10-25"
"http://ada.cinepoetics.org/resource/media/1c39533864525f8297d349bc73534e2923d808740984207218e140a746295367","Tagesschau 2008-12-12"
"http://ada.cinepoetics.org/resource/media/1227c7a97fe7eac4d7c4cc134086e81c2f18d020d1b12c0931a503c4d74e56d0","Tagesschau 2008-12-15"
"http://ada.cinepoetics.org/resource/media/5a95a674a9b2228dbdf17b8414c4f87118cc0fe99350959df7da5c38e10a249f","Tagesschau 2008-12-16"
"http://ada.cinepoetics.org/resource/media/b8e838c1dc62c87d3aedef8c4f07ccc731102fb4199a270246f3e228e7ec591e","Tagesschau 2008-12-17"
"http://ada.cinepoetics.org/resource/media/7df0ad5654b5995e5e0a926b63b2496d776f03b2bdc16585da87971d542cda32","Tagesschau 2008-12-18"
"http://ada.cinepoetics.org/resource/media/423d6ceaf0be40275e52d7d055fb37065728c90c0883d8502a530c32aec4d312","Tagesschau 2008-12-20"
"http://ada.cinepoetics.org/resource/media/cc757b0d47c8edb64aada0387549b4549e374e2a59eba988401fd1841cad1795","Tagesschau 2008-12-21"
"http://ada.cinepoetics.org/resource/media/24b23f68372ef3fbae8491ae39a0cba87d46dd82d2b6b1d39eb10b86ffbbbc4a","Tagesschau 2008-12-22"
"http://ada.cinepoetics.org/resource/media/45b5888ea64018def4aa7402144e2211400591ae2496786e5806102c27a56a1f","Tagesschau 2008-12-23"
"http://ada.cinepoetics.org/resource/media/dd86849dc228681915ddec2b5c37f2824d1156dcafc06b689f67ade76997ec55","Tagesschau 2008-12-24"
"http://ada.cinepoetics.org/resource/media/3c2fab21dde89c9a30a753265eaea61e21e6990d16c800ec5ca2b23e40e66e64","Tagesschau 2008-12-27"
"http://ada.cinepoetics.org/resource/media/bd373dc8fcdb154897ec1ff5c7053c95966ad993692890f640dc0d55ab193c94","Tagesschau 2008-12-28"
"http://ada.cinepoetics.org/resource/media/78263f265d4619b275cc0346f0946acbfcbf3a5d058fa1935e222000365e8475","Tagesschau 2008-12-29"
"http://ada.cinepoetics.org/resource/media/a2e83d7a40a83c570555ac758d23b6e8680dfe96257b40f2119a4882751f75bd","Tagesschau 2008-12-30"
"http://ada.cinepoetics.org/resource/media/e5de6b9c466ad852f3aa0cfebd2369e2a6ee66367e63430c2f9a2b78152882aa","Tagesschau 2009-01-05"
"http://ada.cinepoetics.org/resource/media/3cf5bcff5e5f05c166c5fd6a1b60e7580d19a00099e35eebcd81dcfd19000088","Tagesschau 2009-01-06"
"http://ada.cinepoetics.org/resource/media/956de147a095045a65cb096b3654ebea05190687f87ce481ec67f3a2fb054a06","Tagesschau 2009-01-08"
"http://ada.cinepoetics.org/resource/media/1c1b0f56a29bf4d9c89dff0ad912ae001a2c79d8c77b50bded99c63395ac290c","Tagesschau 2009-01-09"
"http://ada.cinepoetics.org/resource/media/01aaa28356d12635598e5e825f18a8ce75c42aeefa9c0cc0c7df98e242008f49","Tagesschau 2009-01-12"
"http://ada.cinepoetics.org/resource/media/e9cdb44356dd83b23b4597b631dae897db3c3351d5b48423cb3144c844bec702","Tagesschau 2009-01-13"
"http://ada.cinepoetics.org/resource/media/5b4baffb2abf78d106288580e56fe41b65af507535626930ff744d4306e3504c","Tagesschau 2009-01-14"
"http://ada.cinepoetics.org/resource/media/252ed6f44c0675ec33dc2cf3b2d3d90264443d6aa658d1098ab61c79610211eb","Tagesschau 2009-01-15"
"http://ada.cinepoetics.org/resource/media/41d11dbdf300736d2d81b6da41de3e4b7a1f1c3933a2688068b40652de8ff998","Tagesschau 2009-01-19"
"http://ada.cinepoetics.org/resource/media/cd1744b2798321de0b4d5a63825dceae42a1cbab5be59256fca8ad767b031f7d","Tagesschau 2009-01-20"
"http://ada.cinepoetics.org/resource/media/81b5e6bf60889cbe85aea8ac8595b2909ec5c7b88422eb4fd5b03378a155161a","Tagesschau 2009-01-21"
"http://ada.cinepoetics.org/resource/media/aca0ce89e64d66e775a8db5969bfa7c5bf9f8881ffb4a3af73eebb5dbb9decca","Tagesschau 2009-01-22"
"http://ada.cinepoetics.org/resource/media/a0a60ea82013a06a6724298f67d6ccd27f8f3260c8fbefa4f294bf4e51d22363","Tagesschau 2009-01-24"
